Index,Heuristic,Screenshot,Page URL,Page Name,Issue Description,Behavioral Insight,Attitudinal Insight,Cognitive Load,Severity,Priority,Recommendation,Model,Tokens,Cost (Rs)
1,Recognition rather than recall / Aesthetic and minimalist design,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"Two very similar input fields ('Enter your delivery location' and 'Search for restaurant, item or more') are placed side-by-side. They share similar styling and small, indistinct icons, making it difficult for users to immediately differentiate their primary function.","Users might mistakenly attempt to search for restaurants before specifying their delivery location, leading to irrelevant results or a forced redirection to set location, causing extra steps and frustration. It requires users to pause and mentally distinguish between the two fields.","Confusion, mild frustration, feeling that the interface isn't intuitive or guiding them clearly. May feel inefficient if they perform the wrong action first.",Medium,3,P1,"Visually differentiate the primary location input (e.g., make it larger, use a distinct icon, or place it above the general search). Consider disabling or de-emphasizing the general search field until a delivery location is set, or ensure clear placeholder text and distinct icons for each.",models/gemini-2.5-flash,9344,0.10
2,Consistency and standards / User control and freedom,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"The 'Get the App' button is prominently featured in the header, suggesting a primary call to action. This could divert users who intend to place an order directly on the website, interrupting their immediate goal.","Users might click 'Get the App' prematurely, assuming it's a necessary step to proceed with ordering, only to be taken to an app store page. This forces a detour from the web-based ordering journey, potentially leading to abandonment if they prefer not to download the app.","Annoyance, feeling of being unnecessarily pushed towards an app, confusion about the optimal path to order food.",Low,2,P2,"If the primary goal of the landing page is web-based ordering, reduce the visual prominence of the 'Get the App' CTA (e.g., make it a text link, place it in the footer, or make it less visually dominant than the core ordering elements). Introduce it strategically when app-specific benefits are relevant.",models/gemini-2.5-flash,9344,0.10
3,Match between system and the real world,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"Service names like 'Instamart' and 'Dineout' are Swiggy-specific branding. While 'FOOD DELIVERY' is immediately clear, the other two rely on users having prior knowledge of Swiggy's offerings or on reading the smaller, less prominent descriptive text ('Instant Grocery', 'Eat Out & Save More').","New users or those unfamiliar with Swiggy's full suite of services might not immediately understand what 'Instamart' or 'Dineout' entails. This forces them to spend extra cognitive effort to interpret the service or locate the smaller explanatory text, slowing down comprehension.","Mild confusion, feeling of being an 'outsider' if they don't instantly recognize the brand's proprietary terms.",Low,2,P2,"Increase the visual prominence of the descriptive text (e.g., 'Instant Grocery', 'Eat Out & Save More') by using a slightly larger font size, bolder weight, or better color contrast. This ensures the service's nature is quickly scannable alongside its branded name.",models/gemini-2.5-flash,9344,0.10
4,Aesthetic and minimalist design / Contrast,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"The discount text ('UPTO X% OFF') within the service cards uses a smaller font size and lower contrast color (orange on white) compared to the main service titles. This reduces its readability and impact, despite it being a major value proposition.",Users might overlook the stated discounts or find them difficult to read quickly due to the low contrast and small font. This can lead to missed opportunities for conversion or a perception of less value.,Mild frustration if users have to strain to read important information. Can lead to a feeling that valuable incentives are not adequately highlighted.,Low,1,P3,"Enhance the readability and prominence of the discount text. Increase its font size or weight, or use a color with higher contrast against the white background to make it stand out more effectively and be easily scannable.",models/gemini-2.5-flash,9344,0.10
5,Consistency and standards / Aesthetic and minimalist design,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"The restaurant cards in the mid-page content exhibit inconsistent presentation of information. Elements like star ratings, price indicators ('for two'), distance, and the number/type of offer buttons ('pre-booking', 'walk-in', '+X more') vary significantly between cards, creating visual clutter.","Users are forced to individually scan and process each card to locate specific information, slowing down their ability to compare options efficiently. The varying number of small green offer buttons adds visual noise and makes discerning available deals cumbersome.","Frustration, feeling overwhelmed, perceived lack of organization or professionalism in the interface. Can lead to decision fatigue.",High,3,P1,"Standardize the layout, placement, and styling of key information (ratings, price, distance, offer summaries) across all restaurant cards. Consolidate discount information into a more predictable and scannable format, perhaps a single 'View Offers' button or a consistently placed offer badge.",models/gemini-2.5-flash,9344,0.10
6,Visibility of system status / Recognition rather than recall,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"The small green offer buttons (e.g., 'Flat 30% off on pre-booking') and particularly the '+X more' indicators are visually understated. The '+X more' text does not clearly convey the *type* of additional offers hidden behind it (e.g., bank offers, specific menu deals).","Users might hesitate to click the '+X more' buttons due to uncertainty about what information or type of offers will be revealed. This can lead to users missing out on potentially valuable discounts or having to guess, increasing cognitive load.","Uncertainty, mild frustration from hidden or ambiguously labeled information. Can lead to a feeling of not getting the full picture.",Medium,2,P2,"Enhance the clarity and prominence of offer buttons. For '+X more', consider providing a brief tooltip on hover revealing the types of offers available, or use more descriptive button labels (e.g., 'View All Deals'). Increase the visual weight of these calls to action.",models/gemini-2.5-flash,9344,0.10
7,Aesthetic and minimalist design,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"The 'Get the Swiggy App now!' section prominently displays a QR code, but it is surrounded by several small, scattered illustrations of food items. These images add visual clutter without contributing functional value or enhancing the primary call to action.",The extraneous visual elements can distract users from the main purpose of the section – scanning the QR code to download the app. This dilutes the focus and can make the instruction 'scan to download' less impactful.,"Feeling of a busy, less polished, or slightly unprofessional design. Can create visual noise that makes the overall page seem less refined.",Low,1,P3,Simplify the design around the QR code. Remove the scattered food illustrations or integrate them more elegantly and purposefully into the design to enhance focus on the QR code and its accompanying instructions.,models/gemini-2.5-flash,9344,0.10
8,Consistency and standards / User control and freedom,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"In the 'Cities with food delivery' and 'Cities with grocery delivery' sections, the 'Show More' button is visually styled like another city box within the grid. This makes it indistinct from actual city links, potentially causing users to overlook its function or confuse it.","Users scanning the list for their city might miss the 'Show More' option, assuming only the immediately visible cities are available. They might also mistakenly click it expecting a city-specific page rather than an expansion of the list, leading to inefficient navigation.","Mild confusion, feeling restricted if their city isn't immediately visible, frustration from inefficient or unclear navigation controls.",Medium,2,P2,"Visually differentiate the 'Show More' button from the city boxes. Make it clearly identifiable as a control for the entire grid, perhaps by placing it below the grid, using a distinct button style, color, or an arrow icon to indicate expansion.",models/gemini-2.5-flash,9344,0.10
9,Aesthetic and minimalist design / Consistency and standards,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"The footer contains a large number of text links grouped into multiple categories ('Company', 'Contact us', 'Available in', 'Life at Swiggy'). Most links and category headings share very similar visual weight and styling, creating a dense block of undifferentiated text.","Users attempting to find specific information (e.g., 'Careers', 'Help & Support', 'Terms & Conditions') must visually parse through a large, uniform block of text. This significantly increases the time and effort required to locate desired links and understand the footer's structure.","Overwhelm, frustration, feeling lost or disoriented due to the lack of clear visual hierarchy. May lead to abandonment if information is too difficult to find.",High,3,P1,"Implement stronger visual hierarchy within the footer. Use distinct typography (e.g., bolder, slightly larger font) for category headings. Consider using line breaks, small icons, or clearer grouping/spacing to break up the dense text and improve scannability.",models/gemini-2.5-flash,9344,0.10
10,Consistency and standards / Recognition rather than recall,/static/screenshots/above_the_fold_bd842d1c.png,https://www.swiggy.com,Home,"In the 'Available in' section of the footer, a few example city names are listed, followed by a '665 cities' element. It's ambiguous whether '665 cities' is purely informational, a link to a full list, or a clickable dropdown, and its relationship to the individually listed cities is unclear.","Users may be confused about the function of '665 cities' and how it interacts with the other city links. They might hesitate to click it due to its ambiguous nature, or click it expecting a different outcome than what is provided.","Confusion, mild frustration from an unclear interactive element and redundant information (listing some cities then a total count).",Medium,2,P2,"Clarify the purpose and interactive nature of '665 cities'. If it's a dropdown, add a clear dropdown arrow icon. If it's a link to a comprehensive list, ensure it's styled as a link and perhaps rename it to 'View all cities'. If the listed cities are examples, explicitly label them as such.",models/gemini-2.5-flash,9344,0.10
